HG.yearID,year,personID,name,gender,beast.time,total.miles,avg.min.per.mile,beast.times.finished
Y10,2012,P1004,Al Eder,M,86:35:38,305,0:17:02,1
Y10,2012,P1041,Bob Jasinski,M,67:33:39,305,0:13:17,1
Y10,2012,P1071,Chris Bernard,M,68:50:44,305,0:13:33,1
Y10,2012,P1090,Daren Marceau,M,86:35:13,305,0:17:02,1
Y10,2012,P25,David Snipes,M,82:49:01,305,0:16:18,5
Y10,2012,P2024,Drew Fratrick,M,85:10:50,305,0:16:45,1
Y10,2012,P2032,Eric Rohnacher,M,87:47:31,305,0:17:16,1
Y10,2012,P2045,Guy Love,M,63:49:37,305,0:12:33,1
Y10,2012,P2083,Jeffrey Thompson,M,72:35:42,305,0:14:17,1
Y10,2012,P2086,Jennifer Broton,F,88:12:47,305,0:17:21,2
Y10,2012,P2096,Jim Ashworth,M,72:23:49,305,0:14:15,3
Y10,2012,P2111,John Dailey,M,85:50:19,305,0:16:53,1
Y10,2012,P33,Keith Knipling,M,59:42:23,305,0:11:45,3
Y10,2012,P215,Kevin Martin,M,73:35:07,305,0:14:29,1
Y10,2012,P203,Kyle Fricke,M,68:57:08,305,0:13:34,1
Y10,2012,P194,Marc Griffin,M,71:18:26,305,0:14:02,5
Y10,2012,P172,Michael Dunlop,M,81:08:38,305,0:15:58,1
Y10,2012,P171,Michael Hannon,M,76:37:01,305,0:15:04,1
Y10,2012,P165,Michael Myers,M,63:15:10,305,0:12:27,1
Y10,2012,P131,Richard Key,M,71:14:53,305,0:14:01,1
Y10,2012,P79,Stephen Kinzman,M,84:17:30,305,0:16:35,1
Y10,2012,P63,Todd Bumgardner,M,69:49:55,305,0:13:44,1
Y10,2012,P47,Yosuke Murase,M,62:53:59,305,0:12:22,1
Y11,2013,P1026,Anthony Sweitzer,M,44:00:35,205,0:12:53,1
Y11,2013,P1030,Austin Burling,M,39:30:43,205,0:11:34,1
Y11,2013,P1045,Brad Hinton,M,34:12:32,205,0:10:01,1
Y11,2013,P1050,Brian Dibeler,M,45:14:59,205,0:13:15,1
